alpha,J1,J2,theta_1,theta_2,tticks
3.000000e-02,6.417048e-02,2.074845e+00,-1.453392e+01,-9.359483e+00,8.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.478935e+01,-9.581251e+00,8.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.509705e+01,-9.835038e+00,8.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.546955e+01,-1.012898e+01,8.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.592415e+01,-1.047432e+01,9.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.648565e+01,-1.088714e+01,9.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.719097e+01,-1.139143e+01,9.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.809802e+01,-1.202477e+01,9.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-1.930397e+01,-1.285030e+01,9.400000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.098750e+01,-1.398418e+01,9.500000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.352430e+01,-1.567088e+01,9.600000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.789477e+01,-1.854940e+01,9.700000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-3.802942e+01,-2.519013e+01,9.800000e-01
3.000000e-02,6.417048e-02,2.074845e+00,0.000000e+00,0.000000e+00,9.900000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-2.378135e+01,-4.733860e-01,0.000000e+00
4.000000e-02,7.964981e-02,1.911595e+00,-2.366387e+01,-7.054816e-01,1.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.350406e+01,-9.328681e-01,2.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.330714e+01,-1.154582e+00,3.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.307823e+01,-1.369868e+00,4.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.282226e+01,-1.578163e+00,5.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.254384e+01,-1.779079e+00,6.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.224725e+01,-1.972378e+00,7.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.193635e+01,-2.157952e+00,8.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.161459e+01,-2.335797e+00,9.000000e-02
4.000000e-02,7.964981e-02,1.911595e+00,-2.128502e+01,-2.505999e+00,1.000000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-2.095033e+01,-2.668712e+00,1.100000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-2.061281e+01,-2.824140e+00,1.200000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-2.027442e+01,-2.972526e+00,1.300000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.993685e+01,-3.114141e+00,1.400000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.960150e+01,-3.249274e+00,1.500000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.926951e+01,-3.378222e+00,1.600000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.894186e+01,-3.501287e+00,1.700000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.861930e+01,-3.618770e+00,1.800000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.830246e+01,-3.730968e+00,1.900000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.799181e+01,-3.838168e+00,2.000000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.768773e+01,-3.940652e+00,2.100000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.739047e+01,-4.038690e+00,2.200000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.710024e+01,-4.132538e+00,2.300000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.681714e+01,-4.222445e+00,2.400000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.654124e+01,-4.308645e+00,2.500000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.627257e+01,-4.391362e+00,2.600000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.601108e+01,-4.470806e+00,2.700000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.575674e+01,-4.547179e+00,2.800000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.550946e+01,-4.620670e+00,2.900000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.526915e+01,-4.691459e+00,3.000000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.503568e+01,-4.759717e+00,3.100000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.480894e+01,-4.825603e+00,3.200000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.458880e+01,-4.889270e+00,3.300000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.437510e+01,-4.950863e+00,3.400000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.416772e+01,-5.010519e+00,3.500000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.396650e+01,-5.068368e+00,3.600000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.377130e+01,-5.124534e+00,3.700000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.358198e+01,-5.179137e+00,3.800000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.339839e+01,-5.232288e+00,3.900000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.322040e+01,-5.284097e+00,4.000000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.304787e+01,-5.334667e+00,4.100000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.288067e+01,-5.384100e+00,4.200000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.271868e+01,-5.432491e+00,4.300000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.256177e+01,-5.479936e+00,4.400000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.240984e+01,-5.526526e+00,4.500000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.226277e+01,-5.572351e+00,4.600000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.212047e+01,-5.617498e+00,4.700000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.198284e+01,-5.662056e+00,4.800000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.184978e+01,-5.706109e+00,4.900000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.172123e+01,-5.749743e+00,5.000000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.159711e+01,-5.793045e+00,5.100000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.147735e+01,-5.836101e+00,5.200000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.136189e+01,-5.878998e+00,5.300000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.125068e+01,-5.921824e+00,5.400000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.114369e+01,-5.964672e+00,5.500000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.104088e+01,-6.007635e+00,5.600000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.094223e+01,-6.050809e+00,5.700000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.084773e+01,-6.094295e+00,5.800000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.075737e+01,-6.138199e+00,5.900000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.067117e+01,-6.182631e+00,6.000000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.058914e+01,-6.227710e+00,6.100000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.051132e+01,-6.273560e+00,6.200000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.043776e+01,-6.320315e+00,6.300000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.036852e+01,-6.368119e+00,6.400000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.030369e+01,-6.417127e+00,6.500000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.024337e+01,-6.467507e+00,6.600000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.018768e+01,-6.519444e+00,6.700000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.013676e+01,-6.573141e+00,6.800000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.009080e+01,-6.628820e+00,6.900000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.004999e+01,-6.686730e+00,7.000000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-1.001457e+01,-6.747145e+00,7.100000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-9.984835e+00,-6.810376e+00,7.200000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-9.961105e+00,-6.876771e+00,7.300000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-9.943767e+00,-6.946725e+00,7.400000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-9.933274e+00,-7.020689e+00,7.500000e-01
4.000000e-02,7.964981e-02,1.911595e+00,-9.930155e+00,-7.099180e+00,7.600000e-01
